service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
332,0,0,0,0,0,0,0,20250404,20251213
333,0,0,0,0,0,0,0,20250404,20251213
334,0,0,0,0,0,0,0,20250404,20251213
335,1,1,1,1,1,0,0,20250404,20251213
336,0,0,0,0,0,0,0,20250404,20251213
337,0,0,0,0,0,0,0,20250404,20251213
338,0,0,0,0,0,0,0,20250404,20251213
339,0,0,0,0,0,0,0,20250404,20251213
340,1,1,1,1,1,1,1,20250404,20251213
341,0,0,0,0,0,0,0,20250404,20251213
342,0,0,0,0,0,0,0,20250404,20251213
343,0,0,0,0,0,1,1,20250404,20251213
344,0,0,0,0,0,0,0,20250404,20251213
345,1,1,1,1,1,0,0,20250404,20251213
346,0,0,0,0,0,0,0,20250404,20251213
347,0,0,0,0,0,0,0,20250404,20251213
348,1,1,1,1,1,1,1,20250404,20251213
349,0,0,0,0,0,0,0,20250404,20251213
350,0,0,0,0,0,0,0,20250404,20251213
351,0,0,0,0,0,1,1,20250404,20251213
352,0,0,0,0,0,0,0,20250404,20251213
353,0,0,0,0,0,0,0,20250404,20251213
354,1,1,1,1,1,0,0,20250404,20251213
355,0,0,0,0,0,0,0,20250404,20251213
356,0,0,0,0,0,0,0,20250404,20251213
357,1,1,1,1,1,1,1,20250404,20251213
358,0,0,0,0,0,0,0,20250404,20251213
359,0,0,0,0,0,0,0,20250404,20251213
360,0,0,0,0,0,0,0,20250404,20251213
361,0,0,0,0,0,0,0,20250404,20251213
362,0,0,0,0,0,0,0,20250404,20251213
363,0,0,0,0,0,0,0,20250404,20251213
364,1,1,1,1,1,1,1,20250404,20251213
365,0,0,0,0,0,0,0,20250404,20251213
366,0,0,0,0,0,0,0,20250404,20251213
367,0,0,0,0,0,0,0,20250404,20251213
368,0,0,0,0,0,0,0,20250404,20251213
369,0,0,0,0,0,0,0,20250404,20251213
370,1,1,1,1,1,0,0,20250404,20251213
371,0,0,0,0,0,0,0,20250404,20251213
372,1,1,1,1,0,0,1,20250404,20251213
373,0,0,0,0,0,0,0,20250404,20251213
374,0,0,0,0,0,0,0,20250404,20251213
375,0,0,0,0,0,0,0,20250404,20251213
376,0,0,0,0,0,0,0,20250404,20251213
377,0,0,0,0,0,0,0,20250404,20251213
378,0,0,0,0,0,0,0,20250404,20251213
379,1,1,1,1,1,1,1,20250404,20251213
380,0,0,0,0,0,0,0,20250404,20251213
381,0,0,0,0,0,0,0,20250404,20251213
382,0,0,0,0,0,0,0,20250404,20251213
383,0,0,0,0,0,0,0,20250404,20251213
384,0,0,0,0,0,0,0,20250404,20251213
385,0,0,0,0,0,0,0,20250404,20251213
386,0,0,0,0,0,0,0,20250404,20251213
387,0,0,0,0,0,0,0,20250404,20251213
388,0,0,0,0,0,0,0,20250404,20251213
389,0,0,0,0,0,0,0,20250404,20251213
390,0,0,0,0,0,0,0,20250404,20251213
391,0,0,0,0,0,0,0,20250404,20251213
392,0,0,0,0,0,0,0,20250404,20251213
393,0,0,0,0,0,0,0,20250404,20251213
394,0,0,0,0,0,0,0,20250404,20251213
395,0,0,0,0,0,0,0,20250404,20251213
396,0,0,0,0,0,0,0,20250404,20251213
397,0,0,0,0,0,0,0,20250404,20251213
398,1,1,1,1,1,1,1,20250404,20251213
399,0,0,0,0,0,0,0,20250404,20251213
400,0,0,0,0,0,0,0,20250404,20251213
401,0,0,0,0,0,0,0,20250404,20251213
402,0,0,0,0,0,0,0,20250404,20251213
403,0,0,0,0,0,0,0,20250404,20251213
404,0,0,0,0,0,0,0,20250404,20251213
405,0,0,0,0,0,0,0,20250404,20251213
406,0,0,0,0,0,0,0,20250404,20251213
407,0,0,0,0,0,0,0,20250404,20251213
408,0,0,0,0,0,0,0,20250404,20251213
409,0,0,0,0,0,0,0,20250404,20251213
410,0,0,0,0,0,0,0,20250404,20251213
411,0,0,0,0,0,0,0,20250404,20251213
412,0,0,0,0,0,0,0,20250404,20251213
413,1,1,1,1,1,0,0,20250404,20251213
414,0,0,0,0,0,1,1,20250404,20251213
415,1,1,1,1,1,0,0,20250404,20251213
416,0,0,0,0,0,0,0,20250404,20251213
417,0,0,0,0,0,0,0,20250404,20251213
418,0,0,0,0,0,0,0,20250404,20251213
419,0,0,0,0,0,0,0,20250404,20251213
420,0,0,0,0,0,0,0,20250404,20251213
421,0,0,0,0,0,0,0,20250404,20251213
422,0,0,0,0,0,0,0,20250404,20251213
423,0,0,0,0,0,0,0,20250404,20251213
424,0,0,0,0,0,0,0,20250404,20251213
425,0,0,0,0,0,0,0,20250404,20251213
426,0,0,0,0,0,0,0,20250404,20251213
427,0,0,0,0,0,0,0,20250404,20251213
428,0,0,0,0,0,0,0,20250404,20251213
429,0,0,0,0,0,0,0,20250404,20251213
430,0,0,0,0,0,0,0,20250404,20251213
431,0,0,0,0,0,0,0,20250404,20251213
432,0,0,0,0,0,0,0,20250404,20251213
433,0,0,0,0,0,0,0,20250404,20251213
434,0,0,0,0,0,0,0,20250404,20251213
435,0,0,0,0,0,0,0,20250404,20251213
436,0,0,0,0,0,0,0,20250404,20251213
437,0,0,0,0,0,0,0,20250404,20251213
438,0,0,0,0,0,0,0,20250404,20251213
439,0,0,0,0,0,0,0,20250404,20251213
440,0,0,0,0,0,0,0,20250404,20251213
441,0,0,0,0,0,0,0,20250404,20251213
442,0,0,0,0,0,0,0,20250404,20251213
443,0,0,0,0,0,0,0,20250404,20251213
444,1,1,1,1,1,0,0,20250404,20251213
445,0,0,0,0,0,0,0,20250404,20251213
446,1,1,1,1,1,1,1,20250404,20251213
447,0,0,0,0,0,0,0,20250404,20251213
448,0,0,0,0,0,0,0,20250404,20251213
449,0,0,0,0,0,0,0,20250404,20251213
450,0,0,0,0,0,1,1,20250404,20251213
451,0,0,0,0,0,0,0,20250404,20251213
452,1,1,1,1,1,0,0,20250404,20251213
453,0,0,0,0,0,0,0,20250404,20251213
454,0,0,0,0,0,0,0,20250404,20251213
455,1,1,1,1,1,1,1,20250404,20251213
456,1,1,1,1,1,1,1,20250404,20251213
457,0,0,0,0,0,0,0,20250404,20251213
458,0,0,0,0,0,0,0,20250404,20251213
459,0,0,0,0,0,1,1,20250404,20251213
460,0,0,0,0,0,0,0,20250404,20251213
461,0,0,0,0,0,0,0,20250404,20251213
462,1,1,1,1,1,0,0,20250404,20251213
463,0,0,0,0,0,0,0,20250404,20251213
464,0,0,0,0,0,0,0,20250404,20251213
465,0,0,0,0,0,1,1,20250404,20251213
466,1,1,1,1,1,0,0,20250404,20251213
467,1,1,1,1,1,1,1,20250404,20251213
468,0,0,0,0,0,0,0,20250404,20251213
469,1,1,1,1,1,1,1,20250404,20251213
470,1,1,1,1,1,1,1,20250404,20251213
471,0,0,0,0,0,0,0,20250404,20251213
472,0,0,0,0,0,0,0,20250404,20251213
473,1,1,1,1,1,1,1,20250404,20251213
474,0,0,0,0,0,0,0,20250404,20251213
475,0,0,0,0,0,0,0,20250404,20251213
476,0,0,0,0,0,0,0,20250404,20251213
477,1,1,1,1,1,1,1,20250404,20251213
478,0,0,0,0,0,0,0,20250404,20251213
479,0,0,0,0,0,0,0,20250404,20251213
480,1,1,1,1,0,0,1,20250404,20251213
481,0,0,0,0,0,0,0,20250404,20251213
482,0,0,0,0,0,0,0,20250404,20251213
483,0,0,0,0,0,0,0,20250404,20251213
484,0,0,0,0,1,1,0,20250404,20251213
485,0,0,0,0,0,0,0,20250404,20251213
486,0,0,0,0,0,0,0,20250404,20251213
487,0,0,0,0,0,0,0,20250404,20251213
488,1,1,1,1,1,0,0,20250404,20251213
489,0,0,0,0,0,0,0,20250404,20251213
490,0,0,0,0,0,0,0,20250404,20251213
491,0,0,0,0,0,0,0,20250404,20251213
492,0,0,0,0,0,0,0,20250404,20251213
493,0,0,0,0,0,0,0,20250404,20251213
494,1,1,1,1,1,1,1,20250404,20251213
495,0,0,0,0,0,0,0,20250404,20251213
496,1,1,1,1,1,1,1,20250404,20251213
497,0,0,0,0,0,0,0,20250404,20251213
498,0,0,0,0,0,0,0,20250404,20251213
499,0,0,0,0,0,0,0,20250404,20251213
500,0,0,0,0,0,0,0,20250404,20251213
501,0,0,0,0,0,0,0,20250404,20251213
502,0,0,0,0,0,0,0,20250404,20251213
503,0,1,0,0,0,0,0,20250404,20251213
504,0,0,0,0,0,0,0,20250404,20251213
505,0,0,0,0,0,0,0,20250404,20251213
506,0,0,0,0,0,0,0,20250404,20251213
507,0,0,0,0,0,0,0,20250404,20251213
508,0,0,0,0,0,0,0,20250404,20251213
509,0,0,0,0,0,0,0,20250404,20251213
510,0,0,0,0,0,0,0,20250404,20251213
511,0,0,0,0,0,0,0,20250404,20251213
512,1,1,1,1,0,0,1,20250404,20251213
513,0,0,0,0,1,1,0,20250404,20251213
514,1,1,1,1,1,1,1,20250404,20251213
515,0,0,0,0,0,0,0,20250404,20251213
516,0,0,0,0,0,0,0,20250404,20251213
517,1,1,1,1,1,1,1,20250404,20251213
518,1,1,1,1,1,1,1,20250404,20251213
519,0,0,0,0,0,0,0,20250404,20251213
520,0,0,0,0,1,1,0,20250404,20251213
521,0,1,1,1,0,0,0,20250404,20251213
522,0,0,0,0,0,0,0,20250404,20251213
523,1,1,1,1,1,0,0,20250404,20251213
524,1,1,1,1,1,1,1,20250404,20251213
525,0,0,0,0,0,0,0,20250404,20251213
526,0,0,0,0,0,0,0,20250404,20251213
527,1,1,1,1,1,1,1,20250404,20251213
528,0,0,0,0,0,0,0,20250404,20251213
529,0,0,0,0,0,0,0,20250404,20251213
530,0,0,0,0,0,0,0,20250404,20251213
531,1,1,1,1,1,1,1,20250404,20251213
532,0,0,0,0,0,0,0,20250404,20251213
533,0,0,0,0,0,0,0,20250404,20251213
534,1,1,1,1,1,1,1,20250404,20251213
535,0,0,0,0,0,0,0,20250404,20251213
536,0,0,0,0,0,1,1,20250404,20251213
537,1,1,1,1,1,0,0,20250404,20251213
538,0,0,0,0,0,1,1,20250404,20251213
539,1,1,1,1,1,0,0,20250404,20251213
540,0,0,0,0,0,1,1,20250404,20251213
541,0,0,0,0,0,0,0,20250404,20251213
542,0,0,0,0,0,0,0,20250404,20251213
543,0,0,0,0,0,0,0,20250404,20251213
544,0,0,0,0,0,0,0,20250404,20251213
545,0,0,0,0,0,0,0,20250404,20251213
546,1,1,1,1,1,0,0,20250404,20251213
547,0,0,0,0,0,0,0,20250404,20251213
548,0,0,0,0,0,0,0,20250404,20251213
549,0,0,0,0,0,0,0,20250404,20251213
550,0,0,0,0,0,0,0,20250404,20251213
551,0,0,0,0,0,0,0,20250404,20251213
552,0,0,0,0,0,0,0,20250404,20251213
553,0,0,0,0,0,0,0,20250404,20251213
554,0,0,0,0,0,0,0,20250404,20251213
555,1,1,1,1,1,1,1,20250404,20251213
556,1,1,1,1,1,0,0,20250404,20251213
557,0,0,0,0,0,1,1,20250404,20251213
558,1,1,1,1,1,1,1,20250404,20251213
559,0,0,0,0,0,0,0,20250404,20251213
560,0,0,0,0,0,1,1,20250404,20251213
561,0,0,0,0,0,0,0,20250404,20251213
562,0,0,0,0,0,0,0,20250404,20251213
563,0,0,0,0,0,0,0,20250404,20251213
564,1,1,1,1,1,1,1,20250404,20251213
565,0,0,0,0,0,0,0,20250404,20251213
566,0,0,0,0,0,0,0,20250404,20251213
567,1,1,1,1,1,1,1,20250404,20251213
568,1,1,1,1,1,0,0,20250404,20251213
569,1,1,1,1,1,1,1,20250404,20251213
570,1,1,1,1,1,0,0,20250404,20251213
571,1,1,1,1,1,1,0,20250404,20251213
572,1,1,1,1,1,1,1,20250404,20251213
573,0,0,0,0,0,1,0,20250404,20251213
574,0,0,0,0,0,0,0,20250404,20251213
